,arc_length,fixed_points_straw_1_x,fixed_points_straw_1_y,fixed_points_straw_2_x,fixed_points_straw_2_y,fixed_points_straw_3_x,fixed_points_straw_3_y,fixed_points_straw_4_x,fixed_points_straw_4_y,fixed_points_straw_5_x,fixed_points_straw_5_y,fixed_points_straw_6_x,fixed_points_straw_6_y,fixed_points_straw_7_x,fixed_points_straw_7_y,fixed_points_straw_8_x,fixed_points_straw_8_y,fixed_points_straw_9_x,fixed_points_straw_9_y,fixed_points_straw_10_x,fixed_points_straw_10_y,fixed_points_straw_11_x,fixed_points_straw_11_y,fixed_points_straw_12_x,fixed_points_straw_12_y
0,0.0,55.0,0.0,47.63139720814413,27.499999999999996,27.500000000000007,47.63139720814412,3.3677786976552213e-15,55.0,-27.49999999999999,47.63139720814413,-47.631397208144115,27.500000000000018,-55.0,6.735557395310443e-15,-47.631397208144136,-27.499999999999986,-27.500000000000025,-47.631397208144115,-1.0103336092965664e-14,-55.0,27.499999999999964,-47.63139720814415,47.63139720814411,-27.500000000000025
1,1.7799269338098007,56.766271049698894,0.22002427690540402,49.05102066869968,28.573682138098825,28.192588911600073,49.27104494560508,-0.22002427690540055,56.766271049698894,-28.573682138098814,49.05102066869968,-49.27104494560507,28.192588911600083,-56.766271049698894,-0.22002427690539708,-49.05102066869968,-28.573682138098814,-28.19258891160009,-49.27104494560507,0.22002427690539358,-56.766271049698894,28.57368213809879,-49.05102066869969,49.27104494560506,-28.19258891160009
2,3.677645352614882,58.64749550960636,0.4696426727892145,50.55539964325829,29.73047024013986,28.917025269466503,51.025042316047504,-0.4696426727892109,58.64749550960636,-29.730470240139848,50.55539964325829,-51.0250423160475,28.917025269466514,-58.64749550960636,-0.46964267278920735,-50.5553996432583,-29.730470240139844,-28.91702526946652,-51.0250423160475,0.46964267278920374,-58.64749550960636,29.730470240139823,-50.55539964325831,51.02504231604749,-28.91702526946652
3,5.705138095672903,60.65501992117854,0.7534489796676206,52.15206362895801,30.98001591743689,29.675004003741655,52.90551260862563,-0.7534489796676169,60.65501992117854,-30.98001591743688,52.15206362895801,-52.90551260862562,29.67500400374167,-60.65501992117854,-0.7534489796676132,-52.15206362895802,-30.980015917436877,-29.675004003741677,-52.90551260862562,0.7534489796676095,-60.65501992117854,30.980015917436855,-52.15206362895803,52.905512608625614,-29.675004003741677
4,7.876062518605423,62.801704335743246,1.0769053398605846,53.84941868578269,32.333479549662,30.468224786081247,54.92632402564327,-1.0769053398605808,62.801704335743246,-32.33347954966199,53.84941868578269,-54.92632402564326,30.468224786081265,-62.801704335743246,-1.0769053398605768,-53.849418685782695,-32.33347954966199,-30.468224786081272,-54.92632402564326,1.076905339860573,-62.801704335743246,32.33347954966196,-53.84941868578271,54.926324025643254,-30.468224786081272
5,10.206030507851105,65.10215587770477,1.4465366759375293,55.656852493257986,33.803815447720176,31.298340429984595,57.1033891691955,-1.4465366759375253,65.10215587770477,-33.80381544772017,55.656852493257986,-57.1033891691955,31.29834042998461,-65.10215587770477,-1.4465366759375213,-55.65685249325799,-33.80381544772016,-31.298340429984616,-57.1033891691955,1.4465366759375173,-65.10215587770477,33.80381544772014,-55.65685249325801,57.103389169195495,-31.298340429984616
6,12.712992138038308,67.57305004888849,1.870183627042692,57.584886140013396,35.40615155520493,32.16689849368356,59.45506976705608,-1.8701836270426877,67.57305004888849,-35.40615155520492,57.584886140013396,-59.455069767056074,32.166898493683576,-67.57305004888849,-1.8701836270426837,-57.5848861400134,-35.406151555204914,-32.16689849368358,-59.455069767056074,1.8701836270426795,-67.57305004888849,35.40615155520489,-57.58488614001342,59.45506976705607,-32.16689849368358
7,15.417654627889668,70.23346657943358,2.3573174287255227,59.64530753927209,37.1582300677769,33.07523651165668,62.002624967997605,-2.3573174287255183,70.23346657943358,-37.15823006777689,59.64530753927209,-62.0026249679976,33.0752365116567,-70.23346657943358,-2.3573174287255143,-59.645307539272096,-37.158230067776884,-33.075236511656705,-62.0026249679976,2.35731742872551,-70.23346657943358,37.158230067776856,-59.64530753927211,62.00262496799759,-33.075236511656705
8,18.344059334653444,73.1053528738781,2.919455324295583,61.85136507925637,39.080998912992754,34.02435396088535,64.77082040355194,-2.9194553242955785,73.1053528738781,-39.08099891299275,61.85136507925637,-64.77082040355194,34.024353960885364,-73.1053528738781,-2.919455324295574,-61.851365079256375,-39.08099891299274,-34.02435396088538,-64.77082040355194,2.9194553242955696,-73.1053528738781,39.08099891299271,-61.8513650792564,64.77082040355194,-34.02435396088538
9,21.5202355029283,76.21402331107683,3.5706882741293398,64.21793617494727,41.19931840992963,35.0147049011472,67.7886244490766,-3.570688274129335,76.21402331107683,-41.199318409929624,64.21793617494727,-67.7886244490766,35.01470490114722,-76.21402331107683,-3.5706882741293304,-64.21793617494727,-41.19931840992962,-35.014704901147226,-67.7886244490766,3.5706882741293255,-76.21402331107683,41.19931840992959,-64.2179361749473,67.78862444907658,-35.014704901147226
10,24.979080810612928,79.58882495410415,4.328383292460167,66.76175262137698,43.5429023656387,36.04592258846545,71.09013591383713,-4.328383292460162,79.58882495410415,-43.542902365638696,66.76175262137698,-71.09013591383713,36.04592258846547,-79.58882495410415,-4.328383292460157,-66.76175262137698,-43.54290236563869,-36.04592258846548,-71.09013591383713,4.328383292460153,-79.58882495410415,43.54290236563866,-66.76175262137701,71.09013591383712,-36.04592258846548
11,28.75942325190167,83.26389978400152,5.214101280739184,69.50160179073737,46.14749405902587,37.11640572497566,74.71570307147654,-5.214101280739179,83.26389978400152,-46.14749405902585,69.50160179073737,-74.71570307147654,37.11640572497568,-83.26389978400152,-5.2141012807391744,-69.50160179073737,-46.14749405902585,-37.116405724975685,-74.71570307147654,5.214101280739169,-83.26389978400152,46.14749405902582,-69.5016017907374,74.71570307147653,-37.116405724975685
12,32.9073983495409,87.27913706293972,6.254825825152216,72.45853700431364,49.056406592298636,38.22273047064109,78.71336282946584,-6.254825825152211,87.27913706293972,-49.05640659229862,72.45853700431364,-78.71336282946584,38.22273047064111,-87.27913706293972,-6.2548258251522055,-72.45853700431365,-49.05640659229863,-38.22273047064112,-78.71336282946584,6.2548258251522,-87.27913706293972,49.05640659229859,-72.45853700431367,78.71336282946582,-38.22273047064112
13,37.47823903452047,91.68135284466263,7.484624586286216,75.65606832365945,52.32255145184477,39.35880139281787,83.14069290994566,-7.484624586286211,91.68135284466263,-52.32255145184475,75.65606832365945,-83.14069290994564,39.35880139281789,-91.68135284466263,-7.484624586286205,-75.65606832365945,-52.322551451844745,-39.3588013928179,-83.14069290994564,7.484624586286199,-91.68135284466263,52.32255145184471,-75.65606832365948,83.14069290994563,-39.3588013928179
14,42.53851152577339,96.52564116498921,8.946888598557099,79.12021306618307,56.0110533936744,40.514587771314815,88.06710166474016,-8.946888598557093,96.52564116498921,-56.01105339367439,79.12021306618308,-88.06710166474015,40.51458777131484,-96.52564116498921,-8.946888598557086,-79.12021306618308,-56.01105339367438,-40.51458777131485,-88.06710166474015,8.94688859855708,-96.52564116498921,56.011053393674345,-79.12021306618311,88.06710166474014,-40.51458777131485
15,48.16918644024511,101.87713366348878,10.6974545620869,82.87945853628065,60.202834238341374,41.67429942514741,93.57691309836754,-10.697454562086893,101.87713366348878,-60.20283423834136,82.87945853628065,-93.57691309836753,41.67429942514743,-101.87713366348878,-10.697454562086888,-82.87945853628067,-60.20283423834135,-41.67429942514744,-93.57691309836753,10.69745456208688,-101.87713366348878,60.20283423834132,-82.8794585362807,93.57691309836753,-41.67429942514744
16,54.469541123000766,107.81294182694555,12.808907883972491,86.96429253688247,64.99931053572772,42.81363129121783,99.77320042085495,-12.808907883972484,107.81294182694555,-64.99931053572772,86.96429253688247,-99.77320042085495,42.81363129121785,-107.81294182694555,-12.808907883972479,-86.96429253688248,-64.9993105357277,-42.81363129121787,-99.77320042085495,12.808907883972472,-107.81294182694555,64.99931053572766,-86.96429253688252,99.77320042085493,-42.813631291217874
17,61.562471134228886,114.42447565853428,15.376672289875515,91.40616659006707,70.52882665796756,43.89564900056672,106.78283887994257,-15.376672289875508,114.42447565853428,-70.52882665796754,91.40616659006707,-106.78283887994256,43.89564900056675,-114.42447565853428,-15.3766722898755,-91.40616659006709,-70.52882665796754,-43.89564900056676,-106.78283887994256,15.376672289875494,-114.42447565853428,70.5288266579675,-91.40616659006712,106.78283887994255,-43.89564900056676
18,69.6017103276665,121.82001254815712,18.527713623263537,96.23536874441139,76.9554769458678,44.86453560228932,114.76308236767491,-18.52771362326353,121.82001254815712,-76.95547694586779,96.23536874441139,-114.7630823676749,44.86453560228936,-121.82001254815712,-18.527713623263523,-96.2353687444114,-76.95547694586779,-44.86453560228937,-114.76308236767491,18.527713623263516,-121.82001254815712,76.95547694586774,-96.23536874441145,114.76308236767491,-44.86453560228938
19,78.78153382379554,130.1270516167387,22.43303751321672,101.47681366305628,84.4911061788643,45.6359454378744,123.90985117627298,-22.433037513216714,130.1270516167387,-84.4911061788643,101.47681366305628,-123.90985117627297,45.635945437874426,-130.1270516167387,-22.433037513216707,-101.47681366305629,-84.49110617886429,-45.63594543787444,-123.90985117627297,22.433037513216696,-130.1270516167387,84.49110617886424,-101.47681366305632,123.90985117627295,-45.63594543787444
